Table 1
,,,,,,
,Scientific name,English name,Family,Global IUCN Red List Category,,
,Tachyeres leucocephalus,White-headed Steamerduck,"Anatidae (Ducks, Geese, Swans)",VU,,
,Speculanas specularis,Spectacled Duck,"Anatidae (Ducks, Geese, Swans)",NT,,
,Spatula querquedula,Garganey,"Anatidae (Ducks, Geese, Swans)",LC,,
,Spatula smithii,Cape Shoveler,"Anatidae (Ducks, Geese, Swans)",LC,,
,Spatula clypeata,Northern Shoveler,"Anatidae (Ducks, Geese, Swans)",LC,,
,Sibirionetta formosa,Baikal Teal,"Anatidae (Ducks, Geese, Swans)",LC,,
,Mareca penelope,Eurasian Wigeon,"Anatidae (Ducks, Geese, Swans)",LC,,
,Anas sparsa,African Black Duck,"Anatidae (Ducks, Geese, Swans)",LC,,
,Anas undulata,Yellow-billed Duck,"Anatidae (Ducks, Geese, Swans)",LC,,
,Anas melleri,Meller's Duck,"Anatidae (Ducks, Geese, Swans)",EN,,
,Anas laysanensis,Laysan Duck,"Anatidae (Ducks, Geese, Swans)",CR,,
,Anas wyvilliana,Hawaiian Duck,"Anatidae (Ducks, Geese, Swans)",EN,,
,Anas chlorotis,Brown Teal,"Anatidae (Ducks, Geese, Swans)",NT,,
,Anas aucklandica,Auckland Teal,"Anatidae (Ducks, Geese, Swans)",VU,,
,Anas nesiotis,Campbell Teal,"Anatidae (Ducks, Geese, Swans)",VU,,
,Anas bernieri,Madagascar Teal,"Anatidae (Ducks, Geese, Swans)",EN,,
,Anas capensis,Cape Teal,"Anatidae (Ducks, Geese, Swans)",LC,,
,Anas erythrorhyncha,Red-billed Teal,"Anatidae (Ducks, Geese, Swans)",LC,,
,Anas eatoni,Southern Pintail,"Anatidae (Ducks, Geese, Swans)",VU,,
,Tachybaptus pelzelnii,Madagascar Grebe,Podicipedidae (Grebes),EN,,
,Tachybaptus rufolavatus,Alaotra Grebe,Podicipedidae (Grebes),EX,,
,Podilymbus gigas,Atitlan Grebe,Podicipedidae (Grebes),EX,,
,Rollandia microptera,Titicaca Grebe,Podicipedidae (Grebes),EN,,
,Poliocephalus rufopectus,New Zealand Grebe,Podicipedidae (Grebes),NT,,
,Podiceps grisegena,Red-necked Grebe,Podicipedidae (Grebes),LC,,
,Podiceps cristatus,Great Crested Grebe,Podicipedidae (Grebes),LC,,
,Podiceps auritus,Horned Grebe,Podicipedidae (Grebes),VU,,
,Podiceps andinus,Colombian Grebe,Podicipedidae (Grebes),EX,,
,Podiceps juninensis,Northern Silvery Grebe,Podicipedidae (Grebes),NT,,
,Podiceps taczanowskii,Junin Grebe,Podicipedidae (Grebes),EN,,
,Podiceps gallardoi,Hooded Grebe,Podicipedidae (Grebes),CR,,
,Phaethon aethereus,Red-billed Tropicbird,Phaethontidae (Tropicbirds),LC,,
,Phaethon rubricauda,Red-tailed Tropicbird,Phaethontidae (Tropicbirds),LC,,
,Rhynochetos jubatus,Kagu,Rhynochetidae (Kagu),EN,,
,Mesitornis unicolor,Brown Mesite,Mesitornithidae (Mesites),VU,,
,Monias benschi,Subdesert Mesite,Mesitornithidae (Mesites),VU,,
,Columba oliviae,Somali Pigeon,"Columbidae (Pigeons, Doves)",DD,,
,Columba trocaz,Madeira Laurel-pigeon,"Columbidae (Pigeons, Doves)",LC,,
,Columba bollii,Dark-tailed Laurel-pigeon,"Columbidae (Pigeons, Doves)",LC,,
,Columba junoniae,White-tailed Laurel-pigeon,"Columbidae (Pigeons, Doves)",NT,,
,Columba pollenii,Comoro Olive-pigeon,"Columbidae (Pigeons, Doves)",NT,,
,Columba argentina,Silvery Pigeon,"Columbidae (Pigeons, Doves)",CR,,
,Columba versicolor,Bonin Woodpigeon,"Columbidae (Pigeons, Doves)",EX,,
,Columba jouyi,Ryukyu Woodpigeon,"Columbidae (Pigeons, Doves)",EX,,
,Columba thiriouxi,Mauritius Woodpigeon,"Columbidae (Pigeons, Doves)",EX,,
,Streptopelia turtur,European Turtle-dove,"Columbidae (Pigeons, Doves)",VU,,
,Streptopelia dusumieri,Philippine Collared-dove,"Columbidae (Pigeons, Doves)",VU,,
,Nesoenas mayeri,Pink Pigeon,"Columbidae (Pigeons, Doves)",VU,,
,Nesoenas duboisi,Reunion Pigeon,"Columbidae (Pigeons, Doves)",EX,,
,Nesoenas cicur,Mauritius Turtle-dove,"Columbidae (Pigeons, Doves)",EX,,
,Nesoenas rodericanus,Rodrigues Turtle-dove,"Columbidae (Pigeons, Doves)",EX,,
,Ectopistes migratorius,Passenger Pigeon,"Columbidae (Pigeons, Doves)",EX,,
,Patagioenas inornata,Plain Pigeon,"Columbidae (Pigeons, Doves)",NT,,
,Geotrygon caniceps,Grey-headed Quail-dove,"Columbidae (Pigeons, Doves)",VU,,
,Geotrygon leucometopia,White-fronted Quail-dove,"Columbidae (Pigeons, Doves)",EN,,
,Leptotila wellsi,Grenada Dove,"Columbidae (Pigeons, Doves)",CR,,
,Zenaida galapagoensis,Galapagos Dove,"Columbidae (Pigeons, Doves)",NT,,
,Zenaida graysoni,Socorro Dove,"Columbidae (Pigeons, Doves)",EW,,
,Columbina cyanopis,Blue-eyed Ground-dove,"Columbidae (Pigeons, Doves)",CR,,
,Starnoenas cyanocephala,Blue-headed Quail-dove,"Columbidae (Pigeons, Doves)",EN,,
,Henicophaps foersteri,New Britain Bronzewing,"Columbidae (Pigeons, Doves)",VU,,
,Gallicolumba keayi,Negros Bleeding-heart,"Columbidae (Pigeons, Doves)",CR,,
,Alopecoenas kubaryi,Caroline Ground-dove,"Columbidae (Pigeons, Doves)",EN,,
,Alopecoenas xanthonurus,White-throated Ground-dove,"Columbidae (Pigeons, Doves)",NT,,
,Alopecoenas erythropterus,Polynesian Ground-dove,"Columbidae (Pigeons, Doves)",CR,,
,Alopecoenas rubescens,Marquesas Ground-dove,"Columbidae (Pigeons, Doves)",EN,,
,Alopecoenas canifrons,Palau Ground-dove,"Columbidae (Pigeons, Doves)",EN,,
,Alopecoenas sanctaecrucis,Santa Cruz Ground-dove,"Columbidae (Pigeons, Doves)",EN,,
,Alopecoenas stairi,Shy Ground-dove,"Columbidae (Pigeons, Doves)",VU,,
,Alopecoenas salamonis,Thick-billed Ground-dove,"Columbidae (Pigeons, Doves)",EX,,
,Geophaps smithii,Partridge Pigeon,"Columbidae (Pigeons, Doves)",VU,,
,Microgoura meeki,Choiseul Pigeon,"Columbidae (Pigeons, Doves)",EX,,
,Caloenas nicobarica,Nicobar Pigeon,"Columbidae (Pigeons, Doves)",NT,,
,Raphus cucullatus,Dodo,"Columbidae (Pigeons, Doves)",EX,,
,Pezophaps solitaria,Rodrigues Solitaire,"Columbidae (Pigeons, Doves)",EX,,
,Didunculus strigirostris,Tooth-billed Pigeon,"Columbidae (Pigeons, Doves)",CR,,
,Treron griveaudi,Comoro Green-pigeon,"Columbidae (Pigeons, Doves)",EN,,
,Treron pembaensis,Pemba Green-pigeon,"Columbidae (Pigeons, Doves)",VU,,
,Ducula aurorae,Polynesian Imperial-pigeon,"Columbidae (Pigeons, Doves)",EN,,
,Ducula galeata,Nukuhiva Imperial-pigeon,"Columbidae (Pigeons, Doves)",EN,,
,Ducula whartoni,Christmas Imperial-pigeon,"Columbidae (Pigeons, Doves)",NT,,
,Ducula pickeringii,Grey Imperial-pigeon,"Columbidae (Pigeons, Doves)",VU,,
,Alectroenas payandeei,Rodrigues Blue-pigeon,"Columbidae (Pigeons, Doves)",EX,,
,Ptilinopus mercierii,Red-moustached Fruit-dove,"Columbidae (Pigeons, Doves)",EX,,
,Ptilinopus roseicapilla,Mariana Fruit-dove,"Columbidae (Pigeons, Doves)",EN,,
,Ptilinopus huttoni,Rapa Fruit-dove,"Columbidae (Pigeons, Doves)",CR,,
,Ptilinopus insularis,Henderson Fruit-dove,"Columbidae (Pigeons, Doves)",VU,,
,Ptilinopus chalcurus,Makatea Fruit-dove,"Columbidae (Pigeons, Doves)",VU,,
,Ptilinopus coralensis,Atoll Fruit-dove,"Columbidae (Pigeons, Doves)",NT,,
,Ptilinopus chrysogaster,Raiatea Fruit-dove,"Columbidae (Pigeons, Doves)",EN,,
,Ptilinopus rarotongensis,Rarotonga Fruit-dove,"Columbidae (Pigeons, Doves)",VU,,
,Hemiphaga novaeseelandiae,New Zealand Pigeon,"Columbidae (Pigeons, Doves)",NT,,
