"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"2612","Alopecoenas jobiensis","White-breasted Ground-dove","Columbidae (Pigeons, Doves)","LC"
"2898","Zapornia olivieri","Sakalava Rail","Rallidae (Rails, Gallinules, Coots)","EN"
"6030","Dicrurus aldabranus","Aldabra Drongo","Dicruridae (Drongos)","NT"
"32697","Chasiempis sclateri","Kauai Elepaio","Monarchidae (Monarchs)","VU"
"7628","Acrocephalus rodericanus","Rodrigues Warbler","Acrocephalidae (Reed-warblers)","NT"
"1018315","Zosterops virens","Cape White-eye","Zosteropidae (White-eyes)","LC"
"1018313","Zosterops pallidus","Orange River White-eye","Zosteropidae (White-eyes)","LC"
"1099033","Zosterops melanurus","Sangkar White-eye","Zosteropidae (White-eyes)","VU"
"32689","Icterus northropi","Bahama Oriole","Icteridae (New World blackbirds)","CR"
